Drug_class,Drug,N_samples,N_features,CV_folds,CV_repeats,OLS_Mean_CV_MSE,Mixture_limit,Min_muts,Paper
INSTI,BIC,279,14,5,10,0.07393845835496593,all,4,True
INSTI,CAB,66,6,5,10,0.1538135366951,all,4,True
INSTI,DTG,414,19,5,10,0.11104657716964725,all,4,True
NNRTI,DOR,132,15,5,10,0.18651229934319993,all,4,True
NNRTI,EFV,2700,26,5,10,0.2686571411973343,all,4,True
NNRTI,RPV,383,20,5,10,0.17993467607732294,all,4,True
NRTI,3TC,3323,22,5,10,0.1604046195649348,all,4,True
NRTI,ABC,3165,22,5,10,0.033923534639725375,all,4,True
NRTI,AZT,3344,22,5,10,0.31506064840838743,all,4,True
NRTI,TFV,2913,22,5,10,0.04067183478727537,all,4,True
PI,ATV,1898,31,5,10,0.18360226410995442,all,4,True
PI,DRV,1286,30,5,10,0.10334354245540237,all,4,True
PI,LPV,2299,31,5,10,0.13583604836084054,all,4,True
