Drug_class,Drug,N_samples,N_features,CV_folds,CV_repeats,OLS_Mean_CV_MSE,Mixture_limit,Min_muts,Paper
INSTI,BIC,279,14,5,10,0.08255781082987695,0,4,True
INSTI,CAB,66,6,5,10,0.14823731809544927,0,4,True
INSTI,DTG,414,19,5,10,0.11384946325981753,0,4,True
NNRTI,DOR,132,13,5,10,0.23536634643102822,0,4,True
NNRTI,EFV,2700,25,5,10,0.2917422934093815,0,4,True
NNRTI,RPV,383,20,5,10,0.1881317790882818,0,4,True
NRTI,3TC,3323,20,5,10,0.2807837741457741,0,4,True
NRTI,ABC,3165,20,5,10,0.03725731673669596,0,4,True
NRTI,AZT,3344,20,5,10,0.3028533369513962,0,4,True
NRTI,TFV,2913,20,5,10,0.04127782714818431,0,4,True
PI,ATV,1898,31,5,10,0.16848044726606073,0,4,True
PI,DRV,1286,30,5,10,0.09106456678803074,0,4,True
PI,LPV,2299,31,5,10,0.12884093036640912,0,4,True
