Drug_class,Drug,N_samples,N_features,CV_folds,CV_repeats,OLS_Mean_CV_MSE,Mixture_limit,Min_muts,Paper
INSTI,BIC,279,19,5,10,0.08163715408239748,0,2,True
INSTI,CAB,66,7,5,10,0.10142157885436505,0,2,True
INSTI,DTG,414,21,5,10,0.1126166956331265,0,2,True
NNRTI,DOR,132,14,5,10,0.24223453973778108,0,2,True
NNRTI,EFV,2700,26,5,10,0.29192761524772814,0,2,True
NNRTI,RPV,383,21,5,10,0.17412714063371137,0,2,True
NRTI,3TC,3323,21,5,10,0.28084926556813683,0,2,True
NRTI,ABC,3165,21,5,10,0.03727271111706351,0,2,True
NRTI,AZT,3344,21,5,10,0.30338207623171815,0,2,True
NRTI,TFV,2913,21,5,10,0.041300207996699305,0,2,True
PI,ATV,1898,31,5,10,0.16848044726606073,0,2,True
PI,DRV,1286,30,5,10,0.09106456678803074,0,2,True
PI,LPV,2299,31,5,10,0.12884093036640912,0,2,True
