Drug_class,Drug,N_samples,N_features,CV_folds,CV_repeats,OLS_Mean_CV_MSE,Mixture_limit,Min_muts,Paper
INSTI,BIC,279,19,5,10,0.08163715408239748,1,1,True
INSTI,CAB,66,8,5,10,0.08311800226279643,1,1,True
INSTI,DTG,414,25,5,10,0.11895978851204872,1,1,True
NNRTI,DOR,132,17,5,10,0.2219773644593127,1,1,True
NNRTI,EFV,2700,26,5,10,0.29192761524772814,1,1,True
NNRTI,RPV,383,23,5,10,0.17440909985070344,1,1,True
NRTI,3TC,3323,22,5,10,0.280755448006019,1,1,True
NRTI,ABC,3165,22,5,10,0.03722905117890296,1,1,True
NRTI,AZT,3344,21,5,10,0.30338207623171815,1,1,True
NRTI,TFV,2913,22,5,10,0.04124605745214617,1,1,True
PI,ATV,1898,31,5,10,0.16848044726606073,1,1,True
PI,DRV,1286,31,5,10,0.09103467609440986,1,1,True
PI,LPV,2299,31,5,10,0.12884093036640912,1,1,True
