Drug_class,Drug,N_samples,N_features,CV_folds,CV_repeats,OLS_Mean_CV_MSE,Mixture_limit,Min_muts,Paper
INSTI,BIC,279,14,5,10,0.08255781082987695,0,5,True
INSTI,CAB,66,6,5,10,0.14823731809544927,0,5,True
INSTI,DTG,414,18,5,10,0.11402187339978505,0,5,True
NNRTI,DOR,132,11,5,10,0.23483896030698265,0,5,True
NNRTI,EFV,2700,25,5,10,0.2917422934093815,0,5,True
NNRTI,RPV,383,17,5,10,0.21130696449373926,0,5,True
NRTI,3TC,3323,20,5,10,0.2807837741457741,0,5,True
NRTI,ABC,3165,20,5,10,0.03725731673669596,0,5,True
NRTI,AZT,3344,20,5,10,0.3028533369513962,0,5,True
NRTI,TFV,2913,20,5,10,0.04127782714818431,0,5,True
PI,ATV,1898,31,5,10,0.16848044726606073,0,5,True
PI,DRV,1286,29,5,10,0.09096129271473107,0,5,True
PI,LPV,2299,31,5,10,0.12884093036640912,0,5,True
