Drug_class,Drug,N_samples,N_features,CV_folds,CV_repeats,OLS_Mean_CV_MSE,Mixture_limit,Min_muts,Paper
INSTI,BIC,279,14,5,10,0.07393845835496593,all,5,True
INSTI,CAB,66,6,5,10,0.1538135366951,all,5,True
INSTI,DTG,414,19,5,10,0.11104657716964725,all,5,True
NNRTI,DOR,132,13,5,10,0.1829431871727117,all,5,True
NNRTI,EFV,2700,25,5,10,0.2686494306013136,all,5,True
NNRTI,RPV,383,18,5,10,0.20536939133916607,all,5,True
NRTI,3TC,3323,21,5,10,0.1604378643526166,all,5,True
NRTI,ABC,3165,21,5,10,0.0339506337542193,all,5,True
NRTI,AZT,3344,21,5,10,0.3137554825905839,all,5,True
NRTI,TFV,2913,21,5,10,0.04065349274109014,all,5,True
PI,ATV,1898,31,5,10,0.18360226410995442,all,5,True
PI,DRV,1286,29,5,10,0.10318952806330861,all,5,True
PI,LPV,2299,31,5,10,0.13583604836084054,all,5,True
