Drug_class,Drug,N_samples,N_features,CV_folds,CV_repeats,OLS_Mean_CV_MSE,Mixture_limit,Min_muts,Paper
INSTI,BIC,279,19,5,10,0.07270376029552876,all,2,True
INSTI,CAB,66,7,5,10,0.11298106524805464,all,2,True
INSTI,DTG,414,22,5,10,0.11010203675027956,all,2,True
NNRTI,DOR,132,15,5,10,0.18651229934319993,all,2,True
NNRTI,EFV,2700,27,5,10,0.27018042386792823,all,2,True
NNRTI,RPV,383,22,5,10,0.1661537307149867,all,2,True
NRTI,3TC,3323,23,5,10,0.161039533012978,all,2,True
NRTI,ABC,3165,23,5,10,0.0339258977148568,all,2,True
NRTI,AZT,3344,22,5,10,0.31506064840838743,all,2,True
NRTI,TFV,2913,23,5,10,0.040655821087432466,all,2,True
PI,ATV,1898,31,5,10,0.18360226410995442,all,2,True
PI,DRV,1286,30,5,10,0.10334354245540237,all,2,True
PI,LPV,2299,31,5,10,0.13583604836084054,all,2,True
