Drug_class,Drug,N_samples,N_features,CV_folds,CV_repeats,OLS_Mean_CV_MSE,Mixture_limit,Min_muts,Paper
INSTI,BIC,279,16,5,10,0.07164637160087495,all,3,True
INSTI,CAB,66,6,5,10,0.1538135366951,all,3,True
INSTI,DTG,414,20,5,10,0.11069702400347065,all,3,True
NNRTI,DOR,132,15,5,10,0.18651229934319993,all,3,True
NNRTI,EFV,2700,27,5,10,0.27018042386792823,all,3,True
NNRTI,RPV,383,21,5,10,0.18161236010240642,all,3,True
NRTI,3TC,3323,23,5,10,0.161039533012978,all,3,True
NRTI,ABC,3165,23,5,10,0.0339258977148568,all,3,True
NRTI,AZT,3344,22,5,10,0.31506064840838743,all,3,True
NRTI,TFV,2913,23,5,10,0.040655821087432466,all,3,True
PI,ATV,1898,31,5,10,0.18360226410995442,all,3,True
PI,DRV,1286,30,5,10,0.10334354245540237,all,3,True
PI,LPV,2299,31,5,10,0.13583604836084054,all,3,True
